x_mm,L_mm,r_mag,p_norm
0.000000,2.50,0.70,0.46914638
0.005010,2.50,0.70,1.04536046
0.010020,2.50,0.70,1.49488759
0.015030,2.50,0.70,1.69437438
0.020040,2.50,0.70,1.60302077
0.025050,2.50,0.70,1.23912149
0.030060,2.50,0.70,0.68557280
0.035070,2.50,0.70,0.31056480
0.040080,2.50,0.70,0.81746466
0.045090,2.50,0.70,1.34066005
0.050100,2.50,0.70,1.64850460
0.055110,2.50,0.70,1.67462720
0.060120,2.50,0.70,1.41381938
0.065130,2.50,0.70,0.92071568
0.070140,2.50,0.70,0.36342712
0.075150,2.50,0.70,0.58104892
0.080160,2.50,0.70,1.15102124
0.085170,2.50,0.70,1.55686172
0.090180,2.50,0.70,1.69962926
0.095190,2.50,0.70,1.55051855
0.100200,2.50,0.70,1.13965082
0.105210,2.50,0.70,0.56825222
0.110220,2.50,0.70,0.37241003
0.115230,2.50,0.70,0.93335744
0.120240,2.50,0.70,1.42240756
0.125251,2.50,0.70,1.67723568
0.130261,2.50,0.70,1.64461475
0.135271,2.50,0.70,1.33104999
0.140281,2.50,0.70,0.80444088
0.145291,2.50,0.70,0.30693148
0.150301,2.50,0.70,0.69868532
0.155311,2.50,0.70,1.24965666
0.160321,2.50,0.70,1.60815473
0.165331,2.50,0.70,1.69306214
0.170341,2.50,0.70,1.48738655
0.175351,2.50,0.70,1.03327299
0.180361,2.50,0.70,0.45744560
0.185371,2.50,0.70,0.46867348
0.190381,2.50,0.70,1.04488814
0.195391,2.50,0.70,1.49459527
0.200401,2.50,0.70,1.69432117
0.205411,2.50,0.70,1.60321501
0.210421,2.50,0.70,1.23952106
0.215431,2.50,0.70,0.68606351
0.220441,2.50,0.70,0.31038144
0.225451,2.50,0.70,0.81695294
0.230461,2.50,0.70,1.34028551
0.235471,2.50,0.70,1.64835193
0.240481,2.50,0.70,1.67472459
0.245491,2.50,0.70,1.41414525
0.250501,2.50,0.70,0.92119271
0.255511,2.50,0.70,0.36373879
0.260521,2.50,0.70,0.58053927
0.265531,2.50,0.70,1.15057731
0.270541,2.50,0.70,1.55661410
0.275551,2.50,0.70,1.69962637
0.280561,2.50,0.70,1.55075882
0.285571,2.50,0.70,1.14008139
0.290581,2.50,0.70,0.56872634
0.295591,2.50,0.70,0.37203106
0.300601,2.50,0.70,0.93286195
0.305611,2.50,0.70,1.42207267
0.310621,2.50,0.70,1.67713227
0.315631,2.50,0.70,1.64476110
0.320641,2.50,0.70,1.33141436
0.325651,2.50,0.70,0.80493032
0.330661,2.50,0.70,0.30702571
0.335671,2.50,0.70,0.69816695
0.340681,2.50,0.70,1.24924549
0.345691,2.50,0.70,1.60795372
0.350701,2.50,0.70,1.69310952
0.355711,2.50,0.70,1.48767078
0.360721,2.50,0.70,1.03372973
0.365731,2.50,0.70,0.45787065
0.370741,2.50,0.70,0.46820080
0.375752,2.50,0.70,1.04441571
0.380762,2.50,0.70,1.49430277
0.385772,2.50,0.70,1.69426775
0.390782,2.50,0.70,1.60340905
0.395792,2.50,0.70,1.23992049
0.400802,2.50,0.70,0.68655425
0.405812,2.50,0.70,0.31019914
0.410822,2.50,0.70,0.81644116
0.415832,2.50,0.70,1.33991080
0.420842,2.50,0.70,1.64819905
0.425852,2.50,0.70,1.67482178
0.430862,2.50,0.70,1.41447094
0.435872,2.50,0.70,0.92166967
0.440882,2.50,0.70,0.36405117
0.445892,2.50,0.70,0.58002969
0.450902,2.50,0.70,1.15013325
0.455912,2.50,0.70,1.55636629
0.460922,2.50,0.70,1.69962327
0.465932,2.50,0.70,1.55099890
0.470942,2.50,0.70,1.14051184
0.475952,2.50,0.70,0.56920059
0.480962,2.50,0.70,0.37165265
0.485972,2.50,0.70,0.93236637
0.490982,2.50,0.70,1.42173761
0.495992,2.50,0.70,1.67702864
0.501002,2.50,0.70,1.64490724
0.506012,2.50,0.70,1.33177858
0.511022,2.50,0.70,0.80541973
0.516032,2.50,0.70,0.30712110
0.521042,2.50,0.70,0.69764858
0.526052,2.50,0.70,1.24883417
0.531062,2.50,0.70,1.60775252
0.536072,2.50,0.70,1.69315669
0.541082,2.50,0.70,1.48795483
0.546092,2.50,0.70,1.03418637
0.551102,2.50,0.70,0.45829603
0.556112,2.50,0.70,0.46772836
0.561122,2.50,0.70,1.04394317
0.566132,2.50,0.70,1.49401007
0.571142,2.50,0.70,1.69421411
0.576152,2.50,0.70,1.60360289
0.581162,2.50,0.70,1.24031979
0.586172,2.50,0.70,0.68704503
0.591182,2.50,0.70,0.31001791
0.596192,2.50,0.70,0.81592933
0.601202,2.50,0.70,1.33953592
0.606212,2.50,0.70,1.64804597
0.611222,2.50,0.70,1.67491876
0.616232,2.50,0.70,1.41479647
0.621242,2.50,0.70,0.92214656
0.626253,2.50,0.70,0.36436426
0.631263,2.50,0.70,0.57952018
0.636273,2.50,0.70,1.14968906
0.641283,2.50,0.70,1.55611828
0.646293,2.50,0.70,1.69961996
0.651303,2.50,0.70,1.55123878
0.656313,2.50,0.70,1.14094217
0.661323,2.50,0.70,0.56967499
0.666333,2.50,0.70,0.37127481
0.671343,2.50,0.70,0.93187071
0.676353,2.50,0.70,1.42140237
0.681363,2.50,0.70,1.67692481
0.686373,2.50,0.70,1.64505317
0.691383,2.50,0.70,1.33214264
0.696393,2.50,0.70,0.80590911
0.701403,2.50,0.70,0.30721765
0.706413,2.50,0.70,0.69713020
0.711423,2.50,0.70,1.24842270
0.716433,2.50,0.70,1.60755111
0.721443,2.50,0.70,1.69320364
0.726453,2.50,0.70,1.48823870
0.731463,2.50,0.70,1.03464292
0.736473,2.50,0.70,0.45872175
0.741483,2.50,0.70,0.46725615
0.746493,2.50,0.70,1.04347051
0.751503,2.50,0.70,1.49371720
0.756513,2.50,0.70,1.69416026
0.761523,2.50,0.70,1.60379653
0.766533,2.50,0.70,1.24071895
0.771543,2.50,0.70,0.68753585
0.776553,2.50,0.70,0.30983775
0.781563,2.50,0.70,0.81541744
0.786573,2.50,0.70,1.33916089
0.791583,2.50,0.70,1.64789268
0.796593,2.50,0.70,1.67501552
0.801603,2.50,0.70,1.41512183
0.806613,2.50,0.70,0.92262339
0.811623,2.50,0.70,0.36467805
0.816633,2.50,0.70,0.57901075
0.821643,2.50,0.70,1.14924474
0.826653,2.50,0.70,1.55587008
0.831663,2.50,0.70,1.69961643
0.836673,2.50,0.70,1.55147848
0.841683,2.50,0.70,1.14137238
0.846693,2.50,0.70,0.57014953
0.851703,2.50,0.70,0.37089754
0.856713,2.50,0.70,0.93137495
0.861723,2.50,0.70,1.42106695
0.866733,2.50,0.70,1.67682076
0.871743,2.50,0.70,1.64519890
0.876754,2.50,0.70,1.33250655
0.881764,2.50,0.70,0.80639848
0.886774,2.50,0.70,0.30731535
0.891784,2.50,0.70,0.69661181
0.896794,2.50,0.70,1.24801109
0.901804,2.50,0.70,1.60734950
0.906814,2.50,0.70,1.69325038
0.911824,2.50,0.70,1.48852238
0.916834,2.50,0.70,1.03509937
0.921844,2.50,0.70,0.45914779
0.926854,2.50,0.70,0.46678417
0.931864,2.50,0.70,1.04299774
0.936874,2.50,0.70,1.49342413
0.941884,2.50,0.70,1.69410619
0.946894,2.50,0.70,1.60398998
0.951904,2.50,0.70,1.24111797
0.956914,2.50,0.70,0.68802670
0.961924,2.50,0.70,0.30965866
0.966934,2.50,0.70,0.81490549
0.971944,2.50,0.70,1.33878569
0.976954,2.50,0.70,1.64773918
0.981964,2.50,0.70,1.67511208
0.986974,2.50,0.70,1.41544702
0.991984,2.50,0.70,0.92310016
0.996994,2.50,0.70,0.36499254
1.002004,2.50,0.70,0.57850139
1.007014,2.50,0.70,1.14880028
1.012024,2.50,0.70,1.55562169
1.017034,2.50,0.70,1.69961269
1.022044,2.50,0.70,1.55171799
1.027054,2.50,0.70,1.14180248
1.032064,2.50,0.70,0.57062420
1.037074,2.50,0.70,0.37052083
1.042084,2.50,0.70,0.93087911
1.047094,2.50,0.70,1.42073136
1.052104,2.50,0.70,1.67671651
1.057114,2.50,0.70,1.64534443
1.062124,2.50,0.70,1.33287031
1.067134,2.50,0.70,0.80688781
1.072144,2.50,0.70,0.30741421
1.077154,2.50,0.70,0.69609341
1.082164,2.50,0.70,1.24759932
1.087174,2.50,0.70,1.60714769
1.092184,2.50,0.70,1.69329690
1.097194,2.50,0.70,1.48880589
1.102204,2.50,0.70,1.03555573
1.107214,2.50,0.70,0.45957418
1.112224,2.50,0.70,0.46631243
1.117234,2.50,0.70,1.04252486
1.122244,2.50,0.70,1.49313088
1.127255,2.50,0.70,1.69405191
1.132265,2.50,0.70,1.60418322
1.137275,2.50,0.70,1.24151685
1.142285,2.50,0.70,0.68851759
1.147295,2.50,0.70,0.30948064
