d_over_lambda,d_um,Zin_real_MRayl,Zin_imag_MRayl,Zin_mag_MRayl,T_power,T_dB
1.779890,133.4917,0.192742,0.286310,0.345142,0.02493409,-16.0321
1.781891,133.6418,0.193682,0.305961,0.362111,0.02505389,-16.0112
1.783892,133.7919,0.194690,0.325707,0.379459,0.02518229,-15.9890
1.785893,133.9420,0.195767,0.345556,0.397157,0.02531944,-15.9655
1.787894,134.0920,0.196914,0.365514,0.415181,0.02546553,-15.9405
1.789895,134.2421,0.198133,0.385589,0.433515,0.02562075,-15.9141
1.791896,134.3922,0.199426,0.405787,0.452144,0.02578529,-15.8863
1.793897,134.5423,0.200794,0.426116,0.471055,0.02595939,-15.8571
1.795898,134.6923,0.202239,0.446584,0.490242,0.02614326,-15.8264
1.797899,134.8424,0.203763,0.467197,0.509698,0.02633717,-15.7943
1.799900,134.9925,0.205369,0.487963,0.529419,0.02654137,-15.7608
1.801901,135.1426,0.207058,0.508892,0.549403,0.02675614,-15.7258
1.803902,135.2926,0.208833,0.529990,0.569650,0.02698178,-15.6893
1.805903,135.4427,0.210697,0.551267,0.590159,0.02721862,-15.6513
1.807904,135.5928,0.212652,0.572730,0.610934,0.02746698,-15.6119
1.809905,135.7429,0.214701,0.594390,0.631978,0.02772724,-15.5709
1.811906,135.8929,0.216847,0.616255,0.653294,0.02799975,-15.5285
1.813907,136.0430,0.219094,0.638334,0.674887,0.02828494,-15.4844
1.815908,136.1931,0.221446,0.660638,0.696764,0.02858322,-15.4389
1.817909,136.3432,0.223904,0.683177,0.718932,0.02889505,-15.3918
1.819910,136.4932,0.226475,0.705961,0.741398,0.02922091,-15.3431
1.821911,136.6433,0.229161,0.729001,0.764171,0.02956131,-15.2928
1.823912,136.7934,0.231968,0.752308,0.787259,0.02991679,-15.2408
1.825913,136.9435,0.234899,0.775894,0.810672,0.03028792,-15.1873
1.827914,137.0935,0.237960,0.799771,0.834422,0.03067530,-15.1321
1.829915,137.2436,0.241156,0.823952,0.858518,0.03107958,-15.0752
1.831916,137.3937,0.244493,0.848450,0.882975,0.03150145,-15.0167
1.833917,137.5438,0.247977,0.873278,0.907803,0.03194163,-14.9564
1.835918,137.6938,0.251613,0.898450,0.933017,0.03240088,-14.8944
